Track_id,Artist,Title,Album,Genre,Style,Popularity,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time_Signature,Time,Key,Camelot,Spotify_key,Spotify_mode,spotify_id,Cluster
118668_A,Agoria,Kofea,Sky Is Clear / Kofea,Electronic,"Techno, Tech House",7,0.96,0.692,-7.374,0.148,0.00555,0.484,0.079,0.391,124.0,4.0,4:57,B Minor,10A,11.0,0.0,4eYR7I1PyTGfBZgMrbvxSs,1.0
118668_B,Agoria,Sky Is Clear,Sky Is Clear / Kofea,Electronic,"Techno, Tech House",1,0.674,0.932,-3.115,0.0366,0.00272,0.845,0.156,0.341,126.997,4.0,5:26,G#/A♭ Minor,1A,8.0,0.0,7tpfccFbQIMme7GHUIDhRm,1.0
2469079_A1,Agnes Obel,"Falling, Catching",Philharmonics,"Folk, World, & Country",Folk,37,0.578,0.0862,-17.769,0.0496,0.994,0.94,0.122,0.618,64.742,4.0,1:33,G Major,9B,7.0,1.0,0vRi3keQBMlYNwU66GCeU4,0.0
2469079_A2,Agnes Obel,Riverside,Philharmonics,"Folk, World, & Country",Folk,56,0.651,0.186,-13.455,0.0316,0.985,0.000565,0.133,0.218,99.048,3.0,3:48,A Minor,8A,9.0,0.0,7iHl6LcHD94l5VpmfrBUmG,5.0
2469079_A3,Agnes Obel,Brother Sparrow,Philharmonics,"Folk, World, & Country",Folk,38,0.768,0.263,-14.416,0.0399,0.929,0.184,0.136,0.186,109.916,4.0,3:58,G Major,9B,7.0,1.0,6cWotAT4XRc5BO4aw6GjRt,2.0
2469079_A4,Agnes Obel,Just So,Philharmonics,"Folk, World, & Country",Folk,35,0.639,0.156,-14.362,0.0291,0.968,0.0256,0.101,0.22,86.007,4.0,3:35,C Major,8B,0.0,1.0,0EigbXcb1YCj9EN4o2l7eP,5.0
2469079_A5,Agnes Obel,Beast,Philharmonics,"Folk, World, & Country",Folk,23,0.712,0.189,-14.984,0.0355,0.994,0.0598,0.102,0.206,117.46,3.0,3:50,G#/A♭ Minor,1A,8.0,0.0,1sCXZEvJi3aLYQs7KCYQWi,0.0
2469079_A6,Agnes Obel,Louretta,Philharmonics,"Folk, World, & Country",Folk,21,0.468,0.216,-17.092,0.0332,0.987,0.915,0.0833,0.317,190.019,3.0,2:05,A#/B♭ Major,6B,10.0,1.0,61mvVPKyIyMOY4zTNafGYq,7.0
2469079_B7,Agnes Obel,Avenue,Philharmonics,"Folk, World, & Country",Folk,31,0.537,0.266,-11.362,0.0256,0.971,0.00948,0.123,0.132,149.88,3.0,4:07,A Minor,8A,9.0,0.0,0IccVMAPsoJhl6ZyqXcex4,7.0
2469079_B8,Agnes Obel,Philharmonics,Philharmonics,"Folk, World, & Country",Folk,29,0.697,0.253,-14.088,0.0307,0.983,0.132,0.119,0.186,162.936,3.0,3:33,F Minor,4A,5.0,0.0,2t1r7TphBReVsE5Nglq7sn,7.0
2469079_B9,Agnes Obel,Close Watch,Philharmonics,"Folk, World, & Country",Folk,27,0.669,0.187,-15.482,0.0327,0.954,0.321,0.107,0.0383,114.971,4.0,4:00,F#/G♭ Major,2B,6.0,1.0,3AJ0SQCnJbygvdr2E2e74k,0.0
2469079_B10,Agnes Obel,Wallflower,Philharmonics,"Folk, World, & Country",Folk,20,0.677,0.152,-16.114,0.0456,0.985,0.929,0.109,0.119,119.871,4.0,2:26,E Major,12B,4.0,1.0,3KFoMmeTq0hC1uru0pFMjI,0.0
2469079_B11,Agnes Obel,Over The Hill,Philharmonics,"Folk, World, & Country",Folk,21,0.469,0.0517,-14.073,0.0427,0.985,1.39e-05,0.112,0.148,74.557,4.0,2:48,C Major,8B,0.0,1.0,2hSGNky2r41jS14NzhWMaD,5.0
2469079_B12,Agnes Obel,On Powdered Ground,Philharmonics,"Folk, World, & Country",Folk,25,0.592,0.175,-11.511,0.0302,0.959,0.104,0.0601,0.107,121.46,4.0,4:07,E Minor,9A,4.0,0.0,40fDWVRh2RdFxwlX3u2wQu,7.0
917960_A1,Le Peuple De L'Herbe,"Main Title Theme from ""Le Cube""",Cube,"Electronic, Hip Hop","Drum n Bass, Dub, Breakbeat",9,0.754,0.816,-5.09,0.132,0.00798,0.734,0.075,0.579,135.09,4.0,2:55,G#/A♭ Major,4B,8.0,1.0,0BaEujFvIzGxiUB0JwZAKM,1.0
917960_A2,Le Peuple De L'Herbe,Mission,Cube,"Electronic, Hip Hop","Drum n Bass, Dub, Breakbeat",20,0.85,0.692,-4.942,0.126,0.0329,0.000177,0.436,0.163,117.991,4.0,4:24,D Major,10B,2.0,1.0,0IP38HJr9fRu4FAYaQmExD,3.0
917960_A3,Le Peuple De L'Herbe,Kin Sapalot,Cube,"Electronic, Hip Hop","Drum n Bass, Dub, Breakbeat",6,0.613,0.489,-6.356,0.0317,0.00106,0.417,0.215,0.194,77.03,4.0,4:59,E Major,12B,4.0,1.0,3uyRKyYvpGHsj7WMzNNFvz,6.0
917960_B1,Le Peuple De L'Herbe,Adventure,Cube,"Electronic, Hip Hop","Drum n Bass, Dub, Breakbeat",12,0.832,0.812,-4.468,0.0524,0.0205,0.375,0.0468,0.96,110.008,4.0,3:47,C♯/D♭ Major,3B,1.0,1.0,3XKpZkmKi1LBj3F1dnC03a,3.0
917960_B2,Le Peuple De L'Herbe,Keep Rockin,Cube,"Electronic, Hip Hop","Drum n Bass, Dub, Breakbeat",11,0.638,0.803,-5.143,0.0482,0.000378,0.852,0.362,0.504,166.004,4.0,5:03,C♯/D♭ Major,3B,1.0,1.0,7C99aCiG3q7OsHOictB46y,4.0
917960_C1,Le Peuple De L'Herbe,El Paso,Cube,"Electronic, Hip Hop","Drum n Bass, Dub, Breakbeat",2,0.697,0.805,-6.686,0.0605,0.0423,2.76e-05,0.963,0.543,100.002,4.0,5:19,D Major,10B,2.0,1.0,1S2ZKdgB6XBJE2mdZQfkh1,3.0
917960_C3,Le Peuple De L'Herbe,Down by Law,Cube,"Electronic, Hip Hop","Drum n Bass, Dub, Breakbeat",6,0.809,0.659,-7.033,0.0478,0.0144,0.771,0.684,0.591,100.017,4.0,5:19,C♯/D♭ Major,3B,1.0,1.0,0zqR0twOiBLgXFs0JbYq1d,3.0
917960_D1,Le Peuple De L'Herbe,La Musique Electronique,Cube,"Electronic, Hip Hop","Drum n Bass, Dub, Breakbeat",5,0.824,0.761,-5.756,0.0457,0.000282,0.799,0.134,0.661,130.018,4.0,4:18,C♯/D♭ Major,3B,1.0,1.0,3jnDNDcexPtV1wkIT9FYLc,1.0
