Track_id,Artist,Title,Album,Genre,Style,Popularity,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time_Signature,Time,Key,Camelot,Spotify_key,Spotify_mode,spotify_id
118668_A,Agoria,Kofea,Sky Is Clear / Kofea,Electronic,"Techno, Tech House",7,0.96,0.692,-7.374,0.148,0.00555,0.484,0.079,0.391,124.0,4,4:57,B Minor,10A,11,0,4eYR7I1PyTGfBZgMrbvxSs
118668_B,Agoria,Sky Is Clear,Sky Is Clear / Kofea,Electronic,"Techno, Tech House",6,0.703,0.766,-6.327,0.037,0.00716,0.874,0.127,0.735,126.981,4,6:13,E Minor,9A,4,0,6Rd93PqoqRrF34M7Q0m8Vy
2469079_A1,Agnes Obel,"Falling, Catching",Philharmonics,"Folk, World, & Country",Folk,37,0.578,0.0862,-17.769,0.0496,0.994,0.94,0.122,0.618,64.742,4,1:33,G Major,9B,7,1,0vRi3keQBMlYNwU66GCeU4
2469079_A2,Agnes Obel,Riverside,Philharmonics,"Folk, World, & Country",Folk,56,0.651,0.186,-13.455,0.0316,0.985,0.000565,0.133,0.218,99.048,3,3:48,A Minor,8A,9,0,7iHl6LcHD94l5VpmfrBUmG
2469079_A3,Agnes Obel,Brother Sparrow,Philharmonics,"Folk, World, & Country",Folk,38,0.768,0.263,-14.416,0.0399,0.929,0.184,0.136,0.186,109.916,4,3:58,G Major,9B,7,1,6cWotAT4XRc5BO4aw6GjRt
2469079_A4,Agnes Obel,Just So,Philharmonics,"Folk, World, & Country",Folk,35,0.639,0.156,-14.362,0.0291,0.968,0.0256,0.101,0.22,86.007,4,3:35,C Major,8B,0,1,0EigbXcb1YCj9EN4o2l7eP
2469079_A5,Agnes Obel,Beast,Philharmonics,"Folk, World, & Country",Folk,23,0.712,0.189,-14.984,0.0355,0.994,0.0598,0.102,0.206,117.46,3,3:50,G#/A♭ Minor,1A,8,0,1sCXZEvJi3aLYQs7KCYQWi
2469079_A6,Agnes Obel,Louretta,Philharmonics,"Folk, World, & Country",Folk,22,0.468,0.216,-17.092,0.0332,0.987,0.915,0.0833,0.317,190.019,3,2:05,A#/B♭ Major,6B,10,1,61mvVPKyIyMOY4zTNafGYq
2469079_B7,Agnes Obel,Avenue,Philharmonics,"Folk, World, & Country",Folk,31,0.537,0.266,-11.362,0.0256,0.971,0.00948,0.123,0.132,149.88,3,4:07,A Minor,8A,9,0,0IccVMAPsoJhl6ZyqXcex4
2469079_B8,Agnes Obel,Philharmonics,Philharmonics,"Folk, World, & Country",Folk,29,0.697,0.253,-14.088,0.0307,0.983,0.132,0.119,0.186,162.936,3,3:33,F Minor,4A,5,0,2t1r7TphBReVsE5Nglq7sn
2469079_B9,Agnes Obel,Close Watch,Philharmonics,"Folk, World, & Country",Folk,27,0.669,0.187,-15.482,0.0327,0.954,0.321,0.107,0.0383,114.971,4,4:00,F#/G♭ Major,2B,6,1,3AJ0SQCnJbygvdr2E2e74k
2469079_B10,Agnes Obel,Wallflower,Philharmonics,"Folk, World, & Country",Folk,21,0.677,0.152,-16.114,0.0456,0.985,0.929,0.109,0.119,119.871,4,2:26,E Major,12B,4,1,3KFoMmeTq0hC1uru0pFMjI
2469079_B11,Agnes Obel,Over The Hill,Philharmonics,"Folk, World, & Country",Folk,21,0.469,0.0517,-14.073,0.0427,0.985,1.39e-05,0.112,0.148,74.557,4,2:48,C Major,8B,0,1,2hSGNky2r41jS14NzhWMaD
2469079_B12,Agnes Obel,On Powdered Ground,Philharmonics,"Folk, World, & Country",Folk,25,0.592,0.175,-11.511,0.0302,0.959,0.104,0.0601,0.107,121.46,4,4:07,E Minor,9A,4,0,40fDWVRh2RdFxwlX3u2wQu
917960_A2,Le Peuple De L'Herbe,Mission,Cube,"Electronic, Hip Hop","Drum n Bass, Dub, Breakbeat",20,0.85,0.692,-4.942,0.126,0.0329,0.000177,0.436,0.163,117.991,4,4:24,D Major,10B,2,1,0IP38HJr9fRu4FAYaQmExD
917960_A3,Le Peuple De L'Herbe,Kin Sapalot,Cube,"Electronic, Hip Hop","Drum n Bass, Dub, Breakbeat",6,0.613,0.489,-6.356,0.0317,0.00106,0.417,0.215,0.194,77.03,4,4:59,E Major,12B,4,1,3uyRKyYvpGHsj7WMzNNFvz
917960_B1,Le Peuple De L'Herbe,Adventure,Cube,"Electronic, Hip Hop","Drum n Bass, Dub, Breakbeat",12,0.832,0.812,-4.468,0.0524,0.0205,0.375,0.0468,0.96,110.008,4,3:47,C♯/D♭ Major,3B,1,1,3XKpZkmKi1LBj3F1dnC03a
917960_B2,Le Peuple De L'Herbe,Keep Rockin,Cube,"Electronic, Hip Hop","Drum n Bass, Dub, Breakbeat",11,0.638,0.803,-5.143,0.0482,0.000378,0.852,0.362,0.504,166.004,4,5:03,C♯/D♭ Major,3B,1,1,7C99aCiG3q7OsHOictB46y
917960_C1,Le Peuple De L'Herbe,El Paso,Cube,"Electronic, Hip Hop","Drum n Bass, Dub, Breakbeat",16,0.866,0.898,-5.415,0.0732,0.0058,0.0,0.208,0.898,110.02,4,3:12,C Major,8B,0,1,5fzD8jqugBDLEeRip36TWb
917960_C3,Le Peuple De L'Herbe,Down by Law,Cube,"Electronic, Hip Hop","Drum n Bass, Dub, Breakbeat",6,0.809,0.659,-7.033,0.0478,0.0144,0.771,0.684,0.591,100.017,4,5:19,C♯/D♭ Major,3B,1,1,0zqR0twOiBLgXFs0JbYq1d
917960_D1,Le Peuple De L'Herbe,La Musique Electronique,Cube,"Electronic, Hip Hop","Drum n Bass, Dub, Breakbeat",5,0.824,0.761,-5.756,0.0457,0.000282,0.799,0.134,0.661,130.018,4,4:18,C♯/D♭ Major,3B,1,1,3jnDNDcexPtV1wkIT9FYLc
917960_D2,Le Peuple De L'Herbe,Honesty,Cube,"Electronic, Hip Hop","Drum n Bass, Dub, Breakbeat",20,0.808,0.654,-7.314,0.136,0.0934,3.28e-05,0.13,0.695,88.673,4,3:14,G Major,9B,7,1,5Ib5cAxwZluFyk6HqeMEvP
917960_D3,Le Peuple De L'Herbe,Gumzilla,Cube,"Electronic, Hip Hop","Drum n Bass, Dub, Breakbeat",4,0.687,0.791,-4.88,0.0386,0.00472,0.334,0.183,0.32,95.184,4,5:05,C♯/D♭ Major,3B,1,1,29SNmZsDVaM2cWv7USJlRN
5516756_A1,Gene Chandler,Get Down,Get Down,Funk / Soul,"Soul, Disco",23,0.797,0.565,-12.02,0.101,0.288,0.0176,0.612,0.746,114.397,4,3:35,G Major,9B,7,1,165zEDUBYwXS8mBDIOroXP
5516756_A2,Gene Chandler,Please Sunrise,Get Down,Funk / Soul,"Soul, Disco",1,0.339,0.421,-13.764,0.0315,0.425,1.1e-05,0.0933,0.45,142.947,4,5:48,C♯/D♭ Major,3B,1,1,5zBw75PDGgQfU52M7R3C7N
5516756_A3,Gene Chandler,Tomorrow I May Not Feel The Same,Get Down,Funk / Soul,"Soul, Disco",0,0.536,0.38,-14.628,0.0385,0.146,6.1e-06,0.473,0.794,79.333,4,3:49,B Minor,10A,11,0,3b0kLjrrg7TB2HTb0SnreO
5516756_B2,Gene Chandler,Greatest Love Ever Known,Get Down,Funk / Soul,"Soul, Disco",0,0.568,0.657,-10.515,0.0418,0.194,1.71e-05,0.275,0.735,91.395,4,3:28,E Major,12B,4,1,4KOkiPmWDe4Fhr5GarBBBV
5516756_B4,Gene Chandler,What Now,Get Down,Funk / Soul,"Soul, Disco",1,0.618,0.544,-11.519,0.049,0.435,2.04e-05,0.171,0.722,92.323,3,2:52,G Minor,6A,7,0,4KrW0sheyZQljHgHGUxXQn
5516756_B5,Gene Chandler,Lovequake,Get Down,Funk / Soul,"Soul, Disco",0,0.707,0.597,-11.584,0.0587,0.402,0.0144,0.116,0.707,131.362,4,4:50,F Major,7B,5,1,35SnVd0ieFS3LM6rMlnB5e
12631866_A1,Tricky,Overcome,Maxinquaye,Electronic,"Leftfield, Downtempo, Trip Hop",45,0.814,0.599,-13.007,0.232,0.43,0.736,0.0904,0.752,82.278,4,4:30,D Major,10B,2,1,0tYEsmdrsv5Fi3UOn58bou
12631866_A2,Tricky,Ponderosa,Maxinquaye,Electronic,"Leftfield, Downtempo, Trip Hop",35,0.726,0.745,-9.931,0.179,0.31,1.5e-05,0.161,0.663,180.532,4,3:30,D#/E♭ Major,5B,3,1,3USAAb0W0n99SOensmme2D
12631866_A3,Tricky,Black Steel,Maxinquaye,Electronic,"Leftfield, Downtempo, Trip Hop",38,0.443,0.813,-9.066,0.0819,0.00673,0.0177,0.0983,0.735,169.969,4,5:39,A Major,11B,9,1,52QqxUwMHSmeDZlZBABefY
12631866_A4,Tricky,Hell Is Round The Corner,Maxinquaye,Electronic,"Leftfield, Downtempo, Trip Hop",52,0.574,0.539,-12.273,0.177,0.336,0.00515,0.196,0.507,119.94,4,3:47,C Major,8B,0,1,2wC0qK8JN6gblb0ZJzE2d9
12631866_A5,Tricky,Pumpkin,Maxinquaye,Electronic,"Leftfield, Downtempo, Trip Hop",28,0.598,0.278,-14.244,0.0302,0.15,0.475,0.13,0.165,153.431,3,4:30,C♯/D♭ Major,3B,1,1,1MiVlLMCKrMV0uikVZK2Za
12631866_A6,Tricky,Aftermath,Maxinquaye,Electronic,"Leftfield, Downtempo, Trip Hop",46,0.73,0.436,-14.19,0.0637,0.0363,0.296,0.138,0.501,80.84,4,7:38,A#/B♭ Minor,3A,10,0,4wcWI3GEtaGm38dbdDFbyI
12631866_B1,Tricky,Abbaon Fat Tracks,Maxinquaye,Electronic,"Leftfield, Downtempo, Trip Hop",25,0.636,0.483,-14.792,0.162,0.152,0.0388,0.138,0.605,71.097,4,4:26,G#/A♭ Major,4B,8,1,4EGO2fsS5KL1Ump7b66MNv
12631866_B3,Tricky,Suffocated Love,Maxinquaye,Electronic,"Leftfield, Downtempo, Trip Hop",27,0.677,0.61,-10.555,0.209,0.102,2.44e-05,0.0699,0.962,80.257,4,4:53,E Minor,9A,4,0,5XHV3c5quXJnRTeHcUhVxC
12631866_B6,Tricky,Feed Me,Maxinquaye,Electronic,"Leftfield, Downtempo, Trip Hop",23,0.583,0.494,-14.932,0.097,0.00199,2.1e-05,0.0889,0.628,171.894,4,4:03,G Minor,6A,7,0,57EBP45a1DoRE4Tq7hXG4f
14724778_A2,Casey,Pas À Vendre,Tragédie D'Une Trajectoire,Hip Hop,"Conscious, Hardcore Hip-Hop",15,0.672,0.678,-4.892,0.308,0.0433,0.0,0.37,0.599,86.95,4,4:23,E Minor,9A,4,0,3OcVu2baoczycMot2muy45
14724778_A3,Casey,Qui Sont-Ils ?,Tragédie D'Une Trajectoire,Hip Hop,"Conscious, Hardcore Hip-Hop",7,0.537,0.711,-6.341,0.297,0.00969,0.000536,0.098,0.429,92.849,4,4:14,B Minor,10A,11,0,3IxJ7IwYnY6l1Vlvh1cwlw
14724778_B1,Casey,Chez Moi,Tragédie D'Une Trajectoire,Hip Hop,"Conscious, Hardcore Hip-Hop",21,0.657,0.67,-4.682,0.423,0.0752,0.0,0.0929,0.558,171.86,4,4:57,A Minor,8A,9,0,71vYhXCmFlerZimSYCW7G4
14724778_B2,Casey,Une Lame Dans Ma Veste,Tragédie D'Une Trajectoire,Hip Hop,"Conscious, Hardcore Hip-Hop",7,0.712,0.844,-3.66,0.218,0.000534,5.28e-06,0.302,0.527,185.954,4,3:46,C♯/D♭ Major,3B,1,1,1WwzchbpGhLG73z2mym9SS
14724778_B3,Casey,Suis Ma Plume,Tragédie D'Une Trajectoire,Hip Hop,"Conscious, Hardcore Hip-Hop",8,0.673,0.742,-3.623,0.3,0.0423,3.41e-06,0.162,0.524,92.936,4,3:25,A#/B♭ Minor,3A,10,0,45lw8WAwl5TtxnN6xSzB1k
14724778_C1,Casey,Mourir Con,Tragédie D'Une Trajectoire,Hip Hop,"Conscious, Hardcore Hip-Hop",4,0.618,0.65,-6.454,0.204,0.0624,2.1e-05,0.275,0.484,84.316,4,4:39,A#/B♭ Minor,3A,10,0,1GAoJTG918F1Gj18RucNJ2
14724778_C2,Casey,Ma Haine,Tragédie D'Une Trajectoire,Hip Hop,"Conscious, Hardcore Hip-Hop",5,0.456,0.731,-5.285,0.219,0.00451,0.0,0.206,0.271,110.877,5,5:35,G#/A♭ Major,4B,8,1,79NvWA4BekKdrH8J12ulTM
14724778_C3,Casey,Banlieue Nord,Tragédie D'Une Trajectoire,Hip Hop,"Conscious, Hardcore Hip-Hop",5,0.58,0.784,-5.176,0.285,0.00452,0.0,0.0826,0.433,171.963,4,4:28,C♯/D♭ Major,3B,1,1,0bUq3A8DRoFU7iDnW8CjKj
14724778_D1,Casey,On Ne Présente Plus La Famille,Tragédie D'Une Trajectoire,Hip Hop,"Conscious, Hardcore Hip-Hop",4,0.692,0.578,-6.103,0.313,0.0286,0.0,0.0992,0.671,82.951,4,4:53,G Major,9B,7,1,1NAsKnCd7fh26G2J2hTT5n
14724778_D2,Casey,Je Lutte,Tragédie D'Une Trajectoire,Hip Hop,"Conscious, Hardcore Hip-Hop",5,0.599,0.894,-4.237,0.333,0.18,0.0,0.0885,0.557,96.808,4,4:44,A#/B♭ Minor,3A,10,0,6mAADVPf7GvOr2xZOeemtP
14724778_D3,Casey,Quand Les Banlieusards Sortent,Tragédie D'Une Trajectoire,Hip Hop,"Conscious, Hardcore Hip-Hop",4,0.483,0.616,-7.876,0.278,0.000941,0.0,0.104,0.442,79.24,4,4:41,B Minor,10A,11,0,4734LFv7wsolS3KEg8hghg
14883419_A1,Ausgang,Gangrene,Gangrene,"Hip Hop, Rock",,5,0.741,0.729,-8.036,0.381,0.0325,2.63e-06,0.103,0.602,178.072,4,3:29,A Major,11B,9,1,2sKdSE0stEcEBRhnjLyLoF
14883419_A2,Ausgang,Bonne Conduite,Gangrene,"Hip Hop, Rock",,6,0.48,0.696,-4.629,0.277,0.00366,0.0,0.057,0.441,171.753,4,4:05,C Major,8B,0,1,1mPjqC3tgbLwuKGyM8U7Ws
14883419_B1,Ausgang,Chuck Berry,Gangrene,"Hip Hop, Rock",,14,0.532,0.655,-6.235,0.198,0.00601,0.0,0.12,0.192,146.59,4,4:05,A Major,11B,9,1,6orjSjQENfZM7ndPXxckvb
14883419_B2,Ausgang,Comme Une Ombre,Gangrene,"Hip Hop, Rock",,6,0.561,0.476,-5.844,0.0365,0.0195,0.0,0.0913,0.0802,131.575,4,5:04,A#/B♭ Major,6B,10,1,2FLoW0IyR1ghpjIwGzJoAL
14883419_B3,Ausgang,Crapule,Gangrene,"Hip Hop, Rock",,6,0.445,0.877,-4.921,0.384,0.00228,0.0,0.251,0.797,177.392,4,3:10,A#/B♭ Major,6B,10,1,6WKtTZRlVfgemg49r2ZdZA
14883419_C1,Ausgang,Aidez-Moi,Gangrene,"Hip Hop, Rock",,6,0.721,0.7,-4.62,0.0373,0.109,0.0,0.0791,0.746,126.03,4,4:55,D Minor,7A,2,0,1he7D4M3QyvceOCLOgaIdo
14883419_C2,Ausgang,Ma Complice,Gangrene,"Hip Hop, Rock",,3,0.428,0.763,-4.831,0.289,0.0684,0.0,0.145,0.823,147.905,4,4:08,E Major,12B,4,1,59S1GyBFpXxoLZCLvKsX0v
14883419_C3,Ausgang,Elite,Gangrene,"Hip Hop, Rock",,4,0.462,0.634,-7.045,0.369,0.106,0.000128,0.105,0.219,169.452,4,6:03,A Major,11B,9,1,068oY4rt6Dwf4g2IQeyUBw
14883419_D2,Ausgang,Batard,Gangrene,"Hip Hop, Rock",,3,0.401,0.827,-4.575,0.193,0.000907,0.0,0.178,0.659,154.993,4,3:08,E Minor,9A,4,0,0t8wMDbDmb1dbyqynENJKd
1449729_A1,L.T.D.,You Gave Me Love,Shine On,Funk / Soul,"Soul, Funk, Disco",8,0.832,0.568,-10.603,0.064,0.246,0.0,0.217,0.869,122.133,4,4:27,A#/B♭ Minor,3A,10,0,6GmMHnooOyyUQMFCESdr4N
1449729_A2,L.T.D.,Where Did We Go Wrong,Shine On,Funk / Soul,"Soul, Funk, Disco",40,0.555,0.309,-14.462,0.0294,0.753,3.83e-05,0.141,0.352,132.033,4,4:28,C Major,8B,0,1,65E003YDvOfow75UKALZZG
1449729_A3,L.T.D.,Getaway,Shine On,Funk / Soul,"Soul, Funk, Disco",37,0.756,0.898,-5.986,0.372,0.111,2.21e-05,0.597,0.524,152.215,4,4:50,C Major,8B,0,1,65TKeixltrsoak7m6CcYKB
1449729_A4,L.T.D.,Will Love Grow,Shine On,Funk / Soul,"Soul, Funk, Disco",22,0.464,0.31,-18.866,0.0632,0.856,0.000183,0.103,0.393,80.247,4,4:21,B Minor,10A,11,0,5EnRixsJYqq25O2ucQuh6H
1449729_B1,L.T.D.,Love Is What You Need,Shine On,Funk / Soul,"Soul, Funk, Disco",6,0.788,0.53,-11.805,0.215,0.373,0.0,0.319,0.808,116.722,4,4:15,A Major,11B,9,1,7vvtZNcqqdYYCDF3xTKxzB
1449729_B2,L.T.D.,Shine On,Shine On,Funk / Soul,"Soul, Funk, Disco",25,0.212,0.379,-10.722,0.0299,0.439,0.728,0.113,0.0618,137.728,3,9:42,G Minor,6A,7,0,4lhaS75HwlptjXHcgFUnVV
1449729_B3,L.T.D.,Lovers Everywhere,Shine On,Funk / Soul,"Soul, Funk, Disco",27,0.655,0.53,-12.965,0.0341,0.77,0.00164,0.111,0.956,148.918,4,3:45,F#/G♭ Minor,11A,6,0,39rmvNymWBx6H4t0JXxR7x
1449729_B4,L.T.D.,Lady Love,Shine On,Funk / Soul,"Soul, Funk, Disco",15,0.813,0.862,-8.417,0.0385,0.0138,0.295,0.0588,0.528,121.96,4,6:08,A#/B♭ Minor,3A,10,0,6fnvAa6zfl2JCfOUwpKDPW
8383822_A1,Quincy Jones,Ai No Corrida,The Dude,"Electronic, Jazz, Funk / Soul","Soul-Jazz, Downtempo, Disco",52,0.798,0.748,-12.163,0.036,0.0555,0.105,0.0615,0.896,122.429,4,6:26,B Minor,10A,11,0,0SzAKZYTUvDLqlPgllEb3N
8383822_A2,Quincy Jones,The Dude,The Dude,"Electronic, Jazz, Funk / Soul","Soul-Jazz, Downtempo, Disco",38,0.827,0.556,-12.897,0.0479,0.0569,0.00609,0.0761,0.793,96.114,4,5:37,D Major,10B,2,1,0YeMZY4x8FbVIvFmaphMp6
8383822_A3,Quincy Jones,Just Once,The Dude,"Electronic, Jazz, Funk / Soul","Soul-Jazz, Downtempo, Disco",55,0.543,0.241,-17.245,0.0404,0.733,0.0,0.0944,0.326,71.878,4,4:33,C Major,8B,0,1,62YP3NEB4FVPJ90XcgJQKS
8383822_B1,Quincy Jones,Something Special,The Dude,"Electronic, Jazz, Funk / Soul","Soul-Jazz, Downtempo, Disco",38,0.738,0.471,-17.062,0.0376,0.372,0.291,0.0683,0.753,102.895,3,3:57,E Minor,9A,4,0,6C1WGhMEFYL1M0ERmfzUI7
8383822_B2,Quincy Jones,Razzamatazz,The Dude,"Electronic, Jazz, Funk / Soul","Soul-Jazz, Downtempo, Disco",40,0.835,0.478,-13.67,0.051,0.15,0.000434,0.0519,0.83,120.169,4,4:15,G Minor,6A,7,0,3QVrHveKwEblqYStYJbNop
8383822_B3,Quincy Jones,One Hundred Ways,The Dude,"Electronic, Jazz, Funk / Soul","Soul-Jazz, Downtempo, Disco",51,0.626,0.25,-17.499,0.0503,0.817,4.33e-05,0.0668,0.345,90.103,4,4:19,D#/E♭ Major,5B,3,1,0Yp603BgzIKDDcSUBrYYba
8383822_B4,Quincy Jones,Velas,The Dude,"Electronic, Jazz, Funk / Soul","Soul-Jazz, Downtempo, Disco",31,0.438,0.27,-19.46,0.129,0.513,0.0129,0.0738,0.169,174.306,4,4:05,D Minor,7A,2,0,5N85KoYje6CK7OhtdCkNTA
8383822_B5,Quincy Jones,Turn On The Action,The Dude,"Electronic, Jazz, Funk / Soul","Soul-Jazz, Downtempo, Disco",27,0.737,0.571,-13.969,0.106,0.219,0.0,0.0651,0.813,120.022,4,4:19,D Major,10B,2,1,30kTlqX4Kx2I7rQtqtPsSU
1267938_A1,The Dramatics,I Just Wanna Dance With You,Any Time Any Place,Funk / Soul,"Soul, Ballad, Disco, Funk",2,0.785,0.884,-12.441,0.0779,0.0478,6.11e-06,0.149,0.555,115.128,4,4:46,D Minor,7A,2,0,2GQvfGGDcknBp7GuPhPOek
7685872_A1,Dr. Dre,Intro,Compton (A Soundtrack By Dr. Dre),Hip Hop,"Gangsta, Trap",38,0.69,0.677,-5.509,0.115,0.164,0.0,0.147,0.693,160.095,4,2:17,D Major,10B,2,1,17MoQrote7OvyJI2KXyTX0
7685872_A2,Dr. Dre,Talk About It,Compton (A Soundtrack By Dr. Dre),Hip Hop,"Gangsta, Trap",33,0.682,0.845,-2.206,0.0826,0.00569,0.0,0.349,0.139,103.889,4,3:15,C Major,8B,0,1,44uZZ2tn0ucKwFrqJdhLTE
7685872_A3,Dr. Dre,Genocide,Compton (A Soundtrack By Dr. Dre),Hip Hop,"Gangsta, Trap",36,0.585,0.758,-3.501,0.186,0.000195,0.0,0.088,0.386,86.629,4,4:26,A#/B♭ Minor,3A,10,0,7GW98M7bhqIqLGpxxStZWP
7685872_A4,Dr. Dre,It’s All On Me,Compton (A Soundtrack By Dr. Dre),Hip Hop,"Gangsta, Trap",37,0.587,0.863,-4.43,0.496,0.0448,0.0,0.13,0.198,89.702,4,3:47,D Minor,7A,2,0,57KXAlfzVwxhBtHkvMatrd
