album_id,artist,album,track_id,title
118668,Agoria,Sky Is Clear / Kofea,118668_A,Kofea
118668,Agoria,Sky Is Clear / Kofea,118668_B,Sky Is Clear
2469079,Agnes Obel,Philharmonics,2469079_A1,"Falling, Catching"
2469079,Agnes Obel,Philharmonics,2469079_A2,Riverside
2469079,Agnes Obel,Philharmonics,2469079_A3,Brother Sparrow
2469079,Agnes Obel,Philharmonics,2469079_A4,Just So
2469079,Agnes Obel,Philharmonics,2469079_A5,Beast
2469079,Agnes Obel,Philharmonics,2469079_A6,Louretta
2469079,Agnes Obel,Philharmonics,2469079_B7,Avenue
2469079,Agnes Obel,Philharmonics,2469079_B8,Philharmonics
2469079,Agnes Obel,Philharmonics,2469079_B9,Close Watch
2469079,Agnes Obel,Philharmonics,2469079_B10,Wallflower
2469079,Agnes Obel,Philharmonics,2469079_B11,Over The Hill
2469079,Agnes Obel,Philharmonics,2469079_B12,On Powdered Ground
917960,Le Peuple De L'Herbe,Cube,917960_A1,"Main Title Theme from ""Le Cube"""
917960,Le Peuple De L'Herbe,Cube,917960_A2,Mission
917960,Le Peuple De L'Herbe,Cube,917960_A3,Kin Sapalot
917960,Le Peuple De L'Herbe,Cube,917960_B1,Adventure
917960,Le Peuple De L'Herbe,Cube,917960_B2,Keep Rockin
917960,Le Peuple De L'Herbe,Cube,917960_C1,El Paso
917960,Le Peuple De L'Herbe,Cube,917960_C3,Down by Law
917960,Le Peuple De L'Herbe,Cube,917960_D1,La Musique Electronique
917960,Le Peuple De L'Herbe,Cube,917960_D2,Honesty
917960,Le Peuple De L'Herbe,Cube,917960_D3,Gumzilla
5516756,Gene Chandler,Get Down,5516756_A1,Get Down
5516756,Gene Chandler,Get Down,5516756_A2,Please Sunrise
5516756,Gene Chandler,Get Down,5516756_A3,Tomorrow I May Not Feel The Same
5516756,Gene Chandler,Get Down,5516756_B2,Greatest Love Ever Known
5516756,Gene Chandler,Get Down,5516756_B3,Give Me The Cue
5516756,Gene Chandler,Get Down,5516756_B4,What Now
5516756,Gene Chandler,Get Down,5516756_B5,Lovequake
12631866,Tricky,Maxinquaye,12631866_A1,Overcome
12631866,Tricky,Maxinquaye,12631866_A2,Ponderosa
12631866,Tricky,Maxinquaye,12631866_A3,Black Steel
12631866,Tricky,Maxinquaye,12631866_A4,Hell Is Round The Corner
12631866,Tricky,Maxinquaye,12631866_A5,Pumpkin
12631866,Tricky,Maxinquaye,12631866_A6,Aftermath
12631866,Tricky,Maxinquaye,12631866_B1,Abbaon Fat Tracks
12631866,Tricky,Maxinquaye,12631866_B3,Suffocated Love
12631866,Tricky,Maxinquaye,12631866_B6,Feed Me
