,album_id,artist,album,track_id,title,spotify_id
28,5516756,Gene Chandler,Get Down,5516756_B3,Give Me The Cue,
77,1267938,The Dramatics,Any Time Any Place,1267938_A2,Bottom Line Woman,
78,1267938,The Dramatics,Any Time Any Place,1267938_A4,I Think About You,
79,1267938,The Dramatics,Any Time Any Place,1267938_A5,Get With The Band And Dance,
80,1267938,The Dramatics,Any Time Any Place,1267938_B1,Life Is Just A Playground,
81,1267938,The Dramatics,Any Time Any Place,1267938_B3,Stranger (In My Life),
82,1267938,The Dramatics,Any Time Any Place,1267938_B4,Love Birds,
83,1267938,The Dramatics,Any Time Any Place,1267938_B5,A Marriage On Paper Only,
205,403224,Eminem,The Eminem Show,403224_A4,Cleaning Out My Closet,
221,1684688,Popof,Head Cleaner,1684688_AA,Mr. Orange,
272,1638442,The Beatles,1,1638442_B3,Yesterday,
285,1638442,The Beatles,1,1638442_D3,Something,
287,1638442,The Beatles,1,1638442_D5,Let It Be,
370,23122910,Deas,System Theory EP,23122910_B2,Sytem Theory,
381,785034,Assassin,Perles Rares (1989-2002),785034_D4,Straight To The Top,
386,5385037,The Driver,The Wolves,5385037_A1,Wolves (Aubervilliers Mix) ,
444,23064170,W.LV.S,Guilty,23064170_A2,The Pit Feat. Louisahhh,
453,2233544,Bob Dylan,Before The Flood,2233544_B1,Up On Cripple Creek,
455,2233544,Bob Dylan,Before The Flood,2233544_B3,Endless Highway,
456,2233544,Bob Dylan,Before The Flood,2233544_B4,The Night They Drove Old Dixie Down,
457,2233544,Bob Dylan,Before The Flood,2233544_B5,Stage Fright,
459,2233544,Bob Dylan,Before The Flood,2233544_C5,When You Awake,
460,2233544,Bob Dylan,Before The Flood,2233544_C6,The Weight,
476,6224537,Led Zeppelin,Untitled,6224537_A2,Rock And Roll,
490,6224537,Led Zeppelin,Untitled,6224537_D4,When The Levee Breaks (Alternate U.K. Mix),
493,4873130,The Blues Brothers,Bande Originale Du Film The Blues Brothers,4873130_A4,Shake Your Tailfeather,
501,1864149,Sixties,For Your Love / Belem Nights,1864149_A,For Your Love,
502,1864149,Sixties,For Your Love / Belem Nights,1864149_B,Belem Nights,
519,531953,Boney M.,Take The Heat Off Me,531953_A4,"Help, Help",
523,8427088,Various,Vinyl: Music From The HBO Original Series Volume 1,8427088_A1,The World Is Yours,
524,8427088,Various,Vinyl: Music From The HBO Original Series Volume 1,8427088_A2,Personality Crisis,
525,8427088,Various,Vinyl: Music From The HBO Original Series Volume 1,8427088_A3,No Good,
526,8427088,Various,Vinyl: Music From The HBO Original Series Volume 1,8427088_A4,Sugar Daddy (Theme from Vinyl),
528,8427088,Various,Vinyl: Music From The HBO Original Series Volume 1,8427088_B6,Mr. Pitiful,
530,8427088,Various,Vinyl: Music From The HBO Original Series Volume 1,8427088_B8,All the Way from Memphis,
532,8427088,Various,Vinyl: Music From The HBO Original Series Volume 1,8427088_C10,I Like it Like That,
533,8427088,Various,Vinyl: Music From The HBO Original Series Volume 1,8427088_C11,Cha Cha Twist,
534,8427088,Various,Vinyl: Music From The HBO Original Series Volume 1,8427088_C13,Want Ads,
535,8427088,Various,Vinyl: Music From The HBO Original Series Volume 1,8427088_C14,Hand Clapping Song,
537,8427088,Various,Vinyl: Music From The HBO Original Series Volume 1,8427088_D17,Rotten Apple,
539,8427088,Various,Vinyl: Music From The HBO Original Series Volume 1,8427088_CD-1, \tThe World Is Yours,
540,8427088,Various,Vinyl: Music From The HBO Original Series Volume 1,8427088_CD-2,Personality Crisis,
541,8427088,Various,Vinyl: Music From The HBO Original Series Volume 1,8427088_CD-3,No Good,
542,8427088,Various,Vinyl: Music From The HBO Original Series Volume 1,8427088_CD-4,Sugar Daddy (Theme From Vinyl),
544,8427088,Various,Vinyl: Music From The HBO Original Series Volume 1,8427088_CD-6,Mr. Pitiful,
546,8427088,Various,Vinyl: Music From The HBO Original Series Volume 1,8427088_CD-8, \tAll The Way From Memphis,
548,8427088,Various,Vinyl: Music From The HBO Original Series Volume 1,8427088_CD-10,I Like It Like That,
549,8427088,Various,Vinyl: Music From The HBO Original Series Volume 1,8427088_CD-11,Cha Cha Twist,
550,8427088,Various,Vinyl: Music From The HBO Original Series Volume 1,8427088_CD-12,It’s Just Begun,
551,8427088,Various,Vinyl: Music From The HBO Original Series Volume 1,8427088_CD-13,Want Ads,
552,8427088,Various,Vinyl: Music From The HBO Original Series Volume 1,8427088_CD-14,Hand Clapping Song,
555,8427088,Various,Vinyl: Music From The HBO Original Series Volume 1,8427088_CD-17,Rotten Apple,
556,8427088,Various,Vinyl: Music From The HBO Original Series Volume 1,8427088_CD-18, \tI Just Want To Make Love To You ,
566,14748173,Black Pumas,Black Pumas,14748173_B5,Sweet Conversations,
571,2478369,No Artist,Bruits D'Eau Et Phénomènes Atmosphériques,2478369_A1,Orage,
572,2478369,No Artist,Bruits D'Eau Et Phénomènes Atmosphériques,2478369_A2,Coup De Tonnerre,
573,2478369,No Artist,Bruits D'Eau Et Phénomènes Atmosphériques,2478369_A3,Coup De Tonnerre,
574,2478369,No Artist,Bruits D'Eau Et Phénomènes Atmosphériques,2478369_A4,Coup De Tonnerre,
575,2478369,No Artist,Bruits D'Eau Et Phénomènes Atmosphériques,2478369_A5,Coup De Tonnerre,
576,2478369,No Artist,Bruits D'Eau Et Phénomènes Atmosphériques,2478369_A6,Coup De Tonnerre,
577,2478369,No Artist,Bruits D'Eau Et Phénomènes Atmosphériques,2478369_A7,Orage Dans Le Lointain,
